time,mass
-0.12,24.205620254096225
-0.1,24.205620254096225
-0.08,24.205620254096225
-0.06,24.205620254096225
-0.04,24.205620254096225
-0.02,24.205620254096225
0.0,24.205620254096225
0.02,24.20284563178233
0.04,24.18812631347448
0.06,24.16362743815088
0.08,24.137152606945087
0.1,24.109507967142545
0.12,24.080792063137686
0.14,24.051535994028526
0.16,24.022066931880932
0.18,23.99229753510484
0.2,23.96216543997888
0.22,23.931851974324058
0.24,23.90140890757284
0.26,23.870748716139747
0.28,23.83989767274626
0.3,23.808808252305944
0.32,23.77755308798342
0.34,23.746054206840206
0.36,23.714423580119448
0.38,23.682655346346447
0.4,23.650748076548314
0.42,23.618673424971252
0.44,23.586389571750125
0.46,23.55401726837037
0.48,23.521597278684
0.5,23.489102759014013
0.52,23.456533891437385
0.54,23.423924588212348
0.56,23.391241680037542
0.58,23.35852494551944
0.6,23.325715736028286
0.62,23.29279931261396
0.64,23.259838124177485
0.66,23.22698591086898
0.68,23.19416010281008
0.7,23.161317239868023
0.72,23.12844959369026
0.74,23.09562656418208
0.76,23.06279011541799
0.78,23.029937499382775
0.8,22.997085609333016
0.82,22.964285785964037
0.84,22.931511027650462
0.86,22.898727093817097
0.88,22.865940428155746
0.9,22.83313639617755
0.92,22.800323899619933
0.94,22.767520296495984
0.96,22.734698629874547
0.98,22.701903005398627
1.0,22.669095383068356
1.02,22.636277066318204
1.04,22.60344846327943
1.06,22.570590880716207
1.08,22.537742402827327
1.1,22.504895351516954
1.12,22.472023884708968
1.14,22.43912339809215
1.16,22.40620091062052
1.18,22.37328035961019
1.2,22.34033467308461
1.22,22.30737288694352
1.24,22.274382930219637
1.26,22.241370152992598
1.28,22.208328509280314
1.3,22.175254972786938
1.32,22.142151610722724
1.34,22.10902106721958
1.36,22.075828950746132
1.38,22.04258404111213
1.4,22.009243718905783
1.42,21.975856009308977
1.44,21.942427753728776
1.46,21.908939879833145
1.48,21.875408517902983
1.5,21.841848013126956
1.52,21.808252971794158
1.54,21.774655299613695
1.56,21.741055740599073
1.58,21.707450853163397
1.6,21.673848332715306
1.62,21.640236687969324
1.64,21.606624597014637
1.66,21.57302104892555
1.68,21.539427535896312
1.7,21.50583322915092
1.72,21.472249731849736
1.74,21.438664021865478
1.76,21.405083031982247
1.78,21.371515050469664
1.8,21.337950305970267
1.82,21.304398540878278
1.84,21.27087579497744
1.86,21.237422615048224
1.88,21.204023918289067
1.9,21.17072065421375
1.92,21.137495446274052
1.94,21.10437540784532
1.96,21.071369819986838
1.98,21.03850181972391
2.0,21.005783219860074
2.02,20.973183832621853
2.04,20.940766195636385
2.06,20.908508145897336
2.08,20.876440221362913
2.1,20.844609028626458
2.12,20.813043128524683
2.14,20.78178118213865
2.16,20.75086802609521
2.18,20.72029461431803
2.2,20.69008338774527
2.22,20.660197320712783
2.24,20.630669810440985
2.26,20.60151154421914
2.28,20.572715649980243
2.3,20.54426479830058
2.32,20.516227447228303
2.34,20.4886277630163
2.36,20.461479077763812
2.38,20.434706291654884
2.4,20.40816230388437
2.42,20.38192491554595
2.44,20.35530612083401
2.46,20.330555306037358
2.48,20.30801775038334
2.5,20.286758546303336
2.52,20.266084206916812
2.54,20.245859015495824
2.56,20.226016589887173
2.58,20.206505447442108
2.6,20.187314446952463
2.62,20.168422713924713
2.64,20.14986567195448
2.66,20.131636806532924
2.68,20.113651976783757
2.7,20.096024024825958
2.72,20.07869029727479
2.74,20.06167561407793
2.76,20.04502097082388
2.78,20.028753160362857
2.8,20.012860945078334
2.82,19.997347353179705
2.84,19.982280751477475
2.86,19.967684543264138
2.88,19.95360558840374
2.9,19.94006209708193
2.92,19.92710156722573
2.94,19.914773684763325
2.96,19.903127765523674
2.98,19.892166978296423
3.0,19.88190002086119
3.02,19.87234979790293
3.04,19.863518786096733
3.06,19.85542531307659
3.08,19.848063681507746
3.1,19.84143461627213
